timestamp,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume
2025-03-21 09:55:00+00:00,559.7785,560.32,559.4,559.841,801333.0,475.59,476.34,475.22,475.52,618767.0
2025-03-21 10:00:00+00:00,559.85,559.99,558.88,559.4,596923.0,475.56,475.75,474.8,475.5999,594475.0
2025-03-21 10:05:00+00:00,559.41,559.65,558.42,558.4569,510284.0,475.6,475.99,474.5425,474.67,490397.0
2025-03-21 10:10:00+00:00,558.44,559.27,558.03,559.125,535853.0,474.7,475.59,474.21,475.485,592447.0
2025-03-21 10:15:00+00:00,559.11,559.56,558.6738,559.41,583628.0,475.47,475.94,474.99,475.6102,415215.0
2025-03-21 10:20:00+00:00,559.4,560.32,559.02,560.17,883641.0,475.59,476.7999,475.21,476.51,418750.0
2025-03-21 10:25:00+00:00,560.14,560.4,559.74,559.88,660900.0,476.52,476.82,476.0,476.16,363591.0
2025-03-21 10:30:00+00:00,559.9,560.18,559.56,559.97,665121.0,476.17,476.44,475.69,476.175,273432.0
2025-03-21 10:35:00+00:00,559.9396,560.2,559.23,559.27,323430.0,476.2,476.53,475.41,475.42,233595.0
2025-03-21 10:40:00+00:00,559.2851,560.065,559.04,559.9075,451332.0,475.4,476.17,474.96,475.975,392849.0
2025-03-21 10:45:00+00:00,559.91,560.29,559.5875,560.1,330615.0,475.98,476.4699,475.67,476.09,235681.0
2025-03-21 10:50:00+00:00,560.1,560.3247,559.73,560.2901,237712.0,476.1243,476.32,475.51,476.0598,165190.0
2025-03-21 10:55:00+00:00,560.33,561.48,560.24,561.47,1391659.0,476.07,477.39,475.9995,477.34,526191.0
2025-03-21 11:00:00+00:00,561.47,561.81,561.227,561.3099,494970.0,477.39,477.77,477.0821,477.1388,562255.0
2025-03-21 11:05:00+00:00,561.28,561.62,561.065,561.4739,308701.0,477.11,477.47,476.9,477.23,211095.0
2025-03-21 11:10:00+00:00,561.48,561.59,560.5,560.5595,327880.0,477.18,477.36,476.27,476.2991,202184.0
2025-03-21 11:15:00+00:00,560.565,560.7796,560.04,560.23,9074081.0,476.3,476.4,475.72,475.73,2495991.0
2025-03-21 11:20:00+00:00,560.21,560.42,559.8516,560.03,335573.0,475.735,476.0212,473.8246,475.565,461274.0
2025-03-21 11:25:00+00:00,560.025,560.18,559.68,559.83,385598.0,475.6097,475.73,475.3107,475.5,186980.0
2025-03-21 11:30:00+00:00,559.82,560.5799,559.67,560.12,923572.0,475.42,476.25,475.34,475.84,338436.0
2025-03-21 11:35:00+00:00,560.06,560.29,559.88,559.965,149278.0,475.74,476.0,475.54,475.61,213398.0
2025-03-21 11:40:00+00:00,559.9501,560.14,558.94,559.105,604241.0,475.61,475.76,474.59,474.7,439539.0
2025-03-21 11:45:00+00:00,559.07,559.83,559.0101,559.45,208364.0,474.66,475.5862,474.62,475.2599,410621.0
2025-03-21 11:50:00+00:00,559.4451,559.77,558.8,559.45,518402.0,475.21,475.81,474.77,475.465,390412.0
2025-03-21 11:55:00+00:00,559.48,559.91,559.39,559.44,1043665.0,475.47,475.97,475.34,475.34,392492.0
2025-03-21 12:00:00+00:00,559.37,559.92,558.76,559.79,933408.0,475.31,475.9,474.6,475.71,1072702.0
2025-03-21 12:05:00+00:00,559.79,560.6,559.695,560.5,373507.0,475.68,476.53,475.61,476.4702,223803.0
2025-03-21 12:10:00+00:00,560.515,561.53,560.47,561.305,915060.0,476.45,477.6,476.44,477.44,414771.0
2025-03-21 12:15:00+00:00,561.35,562.27,561.16,562.0509,616428.0,477.52,478.5591,477.27,478.27,446296.0
2025-03-21 12:20:00+00:00,562.06,562.6899,561.98,562.61,900202.0,478.26,479.02,478.2001,478.945,655124.0
2025-03-21 12:25:00+00:00,562.62,562.69,562.2,562.3626,871695.0,478.96,479.08,478.45,478.52,419188.0
2025-03-21 12:30:00+00:00,562.38,562.75,562.13,562.49,795641.0,478.53,479.15,478.42,478.88,320229.0
2025-03-21 12:35:00+00:00,562.49,562.49,561.76,562.1899,611992.0,478.86,478.88,478.11,478.425,354193.0
2025-03-21 12:40:00+00:00,562.19,562.4274,561.7802,561.88,280490.0,478.45,478.75,477.95,478.06,276620.0
2025-03-21 12:45:00+00:00,561.95,562.9799,561.94,562.8,396993.0,478.12,479.0439,478.09,478.86,380520.0
2025-03-21 12:50:00+00:00,562.78,563.0536,562.51,562.69,259156.0,478.86,479.15,478.6,478.87,230995.0
2025-03-21 12:55:00+00:00,562.67,563.685,562.54,563.6503,364881.0,478.86,479.74,478.69,479.72,354389.0
2025-03-21 13:00:00+00:00,563.65,563.65,562.84,563.1,362413.0,479.72,479.72,478.7351,479.01,486439.0
2025-03-21 13:05:00+00:00,563.13,563.4299,563.05,563.35,242247.0,479.03,479.35,478.94,479.2209,330349.0
2025-03-21 13:10:00+00:00,563.365,563.5,562.58,562.7301,335769.0,479.21,479.4,478.49,478.6201,230280.0
2025-03-21 13:15:00+00:00,562.75,562.84,562.28,562.28,241995.0,478.65,478.74,478.07,478.09,318703.0
2025-03-21 13:20:00+00:00,562.29,562.94,562.16,562.75,315979.0,478.07,478.7299,477.95,478.56,343140.0
2025-03-21 13:25:00+00:00,562.77,562.86,561.8969,562.07,347270.0,478.54,478.6487,477.66,477.94,372239.0
2025-03-21 13:30:00+00:00,562.1,562.1699,561.52,562.09,265410.0,477.97,478.21,477.47,478.1,297491.0
2025-03-21 13:35:00+00:00,562.11,562.81,562.06,562.8,568687.0,478.07,478.78,478.0046,478.75,195172.0
2025-03-21 13:40:00+00:00,562.79,563.34,562.65,563.04,409417.0,478.74,479.2984,478.61,478.96,415883.0
2025-03-21 13:45:00+00:00,563.08,563.7,563.0469,563.62,525453.0,478.99,479.57,478.97,479.53,522778.0
2025-03-21 13:50:00+00:00,563.63,563.93,563.38,563.57,382084.0,479.53,479.83,479.2,479.41,451628.0
2025-03-21 13:55:00+00:00,563.5775,563.6399,562.79,562.905,602861.0,479.4237,479.485,478.71,478.78,253409.0
2025-03-21 14:00:00+00:00,562.905,563.3063,562.85,563.16,259398.0,478.77,479.31,478.74,479.18,185458.0
2025-03-21 14:05:00+00:00,563.15,563.18,562.44,562.83,898637.0,479.12,479.2,478.59,478.94,288459.0
2025-03-21 14:10:00+00:00,562.81,563.07,562.4,562.76,401835.0,478.9,479.07,478.4753,478.85,261984.0
2025-03-21 14:15:00+00:00,562.74,563.03,562.5,562.98,279143.0,478.83,479.1,478.5753,479.02,174421.0
2025-03-21 14:20:00+00:00,562.99,563.08,562.27,562.44,408927.0,479.02,479.1,478.3912,478.57,159118.0
2025-03-21 14:25:00+00:00,562.44,562.445,562.05,562.11,350281.0,478.57,478.68,478.2,478.405,363018.0
2025-03-21 14:30:00+00:00,562.12,562.74,562.1,562.49,358889.0,478.4,478.95,478.37,478.72,256265.0
2025-03-21 14:35:00+00:00,562.48,563.14,562.34,562.94,1931582.0,478.72,479.26,478.57,479.09,255650.0
2025-03-21 14:40:00+00:00,562.94,563.29,562.8533,563.21,291233.0,479.07,479.5191,479.0203,479.42,219638.0
2025-03-21 14:45:00+00:00,563.19,563.27,562.34,562.74,365919.0,479.4,479.5,478.62,478.98,203930.0
2025-03-21 14:50:00+00:00,562.73,562.89,562.3,562.53,350678.0,478.94,479.12,478.5273,478.74,181966.0
2025-03-21 14:55:00+00:00,562.6,562.94,562.47,562.49,294428.0,478.77,479.25,478.77,478.81,203738.0
2025-03-21 15:00:00+00:00,562.495,562.6,561.86,562.085,567884.0,478.83,478.86,478.2,478.38,630969.0
2025-03-21 15:05:00+00:00,562.04,562.32,561.71,561.86,407632.0,478.37,478.6,477.95,478.05,322140.0
2025-03-21 15:10:00+00:00,561.84,562.14,561.48,562.0802,541183.0,478.01,478.3,477.69,478.25,480403.0
2025-03-21 15:15:00+00:00,562.06,562.21,561.74,562.09,451563.0,478.19,478.45,477.93,478.33,287555.0
2025-03-21 15:20:00+00:00,562.07,562.4,561.5,562.2863,476425.0,478.31,478.62,477.78,478.49,379308.0
2025-03-21 15:25:00+00:00,562.26,562.3,561.69,561.99,542927.0,478.48,478.5,478.034,478.36,285045.0
2025-03-21 15:30:00+00:00,561.97,562.12,561.765,561.99,435042.0,478.34,478.56,478.2,478.32,287692.0
2025-03-21 15:35:00+00:00,561.99,562.5,561.7301,562.189,636731.0,478.35,478.8,478.1348,478.5,401638.0
2025-03-21 15:40:00+00:00,562.17,562.4113,561.8,562.35,1096787.0,478.498,478.67,478.1,478.57,450140.0
2025-03-21 15:45:00+00:00,562.35,562.6199,562.24,562.38,1698279.0,478.53,478.93,478.44,478.6,827792.0
2025-03-21 15:50:00+00:00,562.41,563.62,562.4,563.58,2711830.0,478.61,480.18,478.61,480.07,1220064.0
2025-03-21 15:55:00+00:00,563.56,564.89,563.52,564.19,6423262.0,480.05,481.61,479.95,481.12,2859066.0
2025-03-21 16:00:00+00:00,564.15,564.3,563.94,564.25,253887.0,481.13,481.15,480.77,480.94,124194.0
2025-03-24 09:30:00+00:00,570.8,571.0,570.2,570.88,1785989.0,487.74,488.2,487.12,487.24,1357401.0
2025-03-24 09:35:00+00:00,570.88,572.0,570.83,571.85,1150282.0,487.24,488.66,487.13,488.399,939293.0
